sampleID	plotID	name	day	month	year	time	weather	air_temp_c	notes	plot_name	expt_code	site_type	rep	plant	treatment	time_zone	latitude	longitude	altitude	site_name	city	state	country	soil_name	number_cores	SPNL_date	pH	lime_index	P_ppm	K_ppm	Ca_ppm	Mg_ppm	organic_matter	NO3N_ppm	NH4_ppm	soil_moisture_percent	soil_temp_10cm	plant_name	LDMC_mg_per_g	nitrogen_percent	carbon_percent	carbon_per_nitrogen	height_mean_cm	mass_per_leaf_g	date_phenology_assessed	phenology_emergence	phenology_leaves_full_size	phenology_herbivore_damage	phenology_open_flowers	phenology_ripe_seeds	phenology_leaf_wilting	phenology_canopy_closed	phenology_senescence	phenology_full_leaf_loss	nucleic_acid_name	date_of_extraction	nucleic_acid_type	replicate_extraction	source	source_mass	extraction_method	elution_vol_ul	concentration_ng_per_ul	ratio_260_280	conc_ng_per_g_source	extracted_by	sequence_name	sequencing_date	conc_sent_ng_per_ul	sequencing_type	sequencing_facility	primers	submitted_for_sequencing	sequencing_successful	duplicate_submitted	dup_sequencing_name	exclude_from_analysis	sampling_date	time_numeric	date	precipitation	Air_temp_mean	air_temp_max	Air_Temp_Min	Air_Pressure	RH	AH	Wind_Speed_Mean	Wind_Direction_Mean	Solar_Radiation	PAR	soil_temp_5_cm_bare_avg	soil_temp_5_cm_sod_avg	Year
24	4	G5R4_MAIN_09MAY2016	9	5	2016	13:56	overcast	15.2	soil/air temp and time data are per-plot	G5R4_MAIN	BCSE	Agricultural	4	switchgrass	standard fertilization	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	G5R4_MAIN_09MAY2016	6	2017-10-13	6.3	74	22	108	878	144	2.4	2.1	4.8	12.41	15.5	G5R4_MAIN_09MAY2016	238	3.4059	42.9539	12.61	56	0.065	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G5R4_MAIN_09MAY2016_SD1		DNA	1	soil	0.26	Mobio Powersoil	100	13.2		5076.9	SH Lee	G5R4_MAIN_09MAY2016_SD1		1.2	Illumina 16S iTag	DOE Joint Genome Institute	EMP V4	Y	Y	N	NA	N	2016-05-09	1462766400	09.05.16	0	10.7	15.6	3.6	983	56.54	0.69	2.92	138.1	139.89	193.66	12.4	10.8	2016
26	6	G5R1_NF_09MAY2016	9	5	2016	12:00	overcast	13.7	soil/air temp and time data are per-plot	G5R1_NF	BCSE	Agricultural	1	switchgrass	nitrogen free	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	G5R1_NF_09MAY2016	6	2017-10-13	6.5	72	16	64	898	124	2.4	1.3	5.7	12.39	13.7	G5R1_NF_09MAY2016	282	1.9946	42.8906	21.5	56	0.073	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G5R1_NF_09MAY2016_SD1		DNA	1	soil	0.26	Mobio Powersoil	100	14.7		5653.8	SH Lee	G5R1_NF_09MAY2016_SD1		1.2	Illumina 16S iTag	DOE Joint Genome Institute	EMP V4	Y	Y	N	NA	N	2016-05-09	1462766400	09.05.16	0	10.7	15.6	3.6	983	56.54	0.69	2.92	138.1	139.89	193.66	12.4	10.8	2016
28	8	G5R3_NF_09MAY2016	9	5	2016	15:26	overcast	15.3	soil/air temp and time data are per-plot	G5R3_NF	BCSE	Agricultural	3	switchgrass	nitrogen free	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	G5R3_NF_09MAY2016	6	2017-10-13	6.7	72	13	72	1010	130	2.5	1.5	3.7	14.95	14.4	G5R3_NF_09MAY2016	231	1.6216	27.8987	17.2	56	0.194	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G5R3_NF_09MAY2016_SD1		DNA	1	soil	0.26	Mobio Powersoil	100	20		7692.3	SH Lee	G5R3_NF_09MAY2016_SD1		1.2	Illumina 16S iTag	DOE Joint Genome Institute	EMP V4	Y	Y	N	NA	N	2016-05-09	1462766400	09.05.16	0	10.7	15.6	3.6	983	56.54	0.69	2.92	138.1	139.89	193.66	12.4	10.8	2016
29	9	G5R4_NF_09MAY2016	9	5	2016	13:56	overcast	15.2	soil/air temp and time data are per-plot	G5R4_NF	BCSE	Agricultural	4	switchgrass	nitrogen free	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	G5R4_NF_09MAY2016	6	2017-10-13	6.4	74	22	94	827	134	2.3	0.9	6	11.53	15.5	G5R4_NF_09MAY2016	189	2.9221	43.0218	14.72	56	0.164	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G5R4_NF_09MAY2016_SD1		DNA	1	soil	0.26	Mobio Powersoil	100	18.7		7192.3	SH Lee	G5R4_NF_09MAY2016_SD1		1.2	Illumina 16S iTag	DOE Joint Genome Institute	EMP V4	Y	Y	N	NA	N	2016-05-09	1462766400	09.05.16	0	10.7	15.6	3.6	983	56.54	0.69	2.92	138.1	139.89	193.66	12.4	10.8	2016
41	1	G5R1_MAIN_31MAY2016	31	5	2016	11:42	hazy	25.5	soil/air temp and time data are per-plot	G5R1_MAIN	BCSE	Agricultural	1	switchgrass	standard fertilization	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	G5R1_MAIN_31MAY2016	6	2017-03-18	6.7	72	43	81	875	112	2.3	3.7	7.1	6.8	24	G5R1_MAIN_31MAY2016	252	2.4779	45.1044	18.2	58	0.694	6/3/16	t	f	f	f	f	f	t	f	f	G5R1_MAIN_31MAY2016_SD1		DNA	1	soil	0.26	Mobio Powersoil	100	22.5		8653.8	SH Lee	G5R1_MAIN_31MAY2016_SD1		1.2	Illumina 16S iTag	DOE Joint Genome Institute	EMP V4	Y	Y	N	NA	N	2016-05-31	1464667200	31.05.16	0	20.7	27.6	11.5	983	58.33	1.3	2.08	69	297.63	411.51	24.7	18.9	2016
42	2	G5R2_MAIN_31MAY2016	31	5	2016	13:26	hazy	25.6	soil/air temp and time data are per-plot	G5R2_MAIN	BCSE	Agricultural	2	switchgrass	standard fertilization	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	G5R2_MAIN_31MAY2016	6	2017-03-18	6.6	71	18	61	834	105	2	4	6.3	8.6	22	G5R2_MAIN_31MAY2016	245	2.4658	45.4308	18.42	58	0.504	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G5R2_MAIN_31MAY2016_SD1		DNA	1	soil	0.26	Mobio Powersoil	100	14.5		5576.9	SH Lee	G5R2_MAIN_31MAY2016_SD1		1.2	Illumina 16S iTag	DOE Joint Genome Institute	EMP V4	Y	Y	N	NA	N	2016-05-31	1464667200	31.05.16	0	20.7	27.6	11.5	983	58.33	1.3	2.08	69	297.63	411.51	24.7	18.9	2016
43	3	G5R3_MAIN_31MAY2016	31	5	2016	14:13	hazy	27.2	soil/air temp and time data are per-plot	G5R3_MAIN	BCSE	Agricultural	3	switchgrass	standard fertilization	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	G5R3_MAIN_31MAY2016	6	2017-03-18	6.5	72	16	68	1091	118	2.6	6.2	4.5	9.6	22	G5R3_MAIN_31MAY2016	236	2.5851	45.2263	17.49	58	0.55	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G5R3_MAIN_31MAY2016_SD1		DNA	1	soil	0.26	Mobio Powersoil	100	17.5		6730.8	SH Lee	G5R3_MAIN_31MAY2016_SD1		1.2	Illumina 16S iTag	DOE Joint Genome Institute	EMP V4	Y	Y	N	NA	N	2016-05-31	1464667200	31.05.16	0	20.7	27.6	11.5	983	58.33	1.3	2.08	69	297.63	411.51	24.7	18.9	2016
44	4	G5R4_MAIN_31MAY2016	31	5	2016	12:37	hazy	30.1	soil/air temp and time data are per-plot	G5R4_MAIN	BCSE	Agricultural	4	switchgrass	standard fertilization	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	G5R4_MAIN_31MAY2016	6	2017-03-18	6.6	71	37	127	894	129	2.3	6	3.6	8.3	22.5	G5R4_MAIN_31MAY2016	234	2.4482	45.1259	18.43	58	0.659	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G5R4_MAIN_31MAY2016_SD1		DNA	1	soil	0.26	Mobio Powersoil	100	15.9		6115.4	SH Lee	G5R4_MAIN_31MAY2016_SD1		1.2	Illumina 16S iTag	DOE Joint Genome Institute	EMP V4	Y	Y	N	NA	N	2016-05-31	1464667200	31.05.16	0	20.7	27.6	11.5	983	58.33	1.3	2.08	69	297.63	411.51	24.7	18.9	2016
45	6	G5R1_NF_31MAY2016	31	5	2016	11:42	hazy	25.5	soil/air temp and time data are per-plot	G5R1_NF	BCSE	Agricultural	1	switchgrass	nitrogen free	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	G5R1_NF_31MAY2016	6	2017-03-18	6.7	73	23	64	903	104	2.4	2.6	6.6	11.1	24	G5R1_NF_31MAY2016	255	2.2266	45.1101	20.26	58	0.514	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G5R1_NF_31MAY2016_SD1		DNA	1	soil	0.26	Mobio Powersoil	100	17.7		6807.7	SH Lee	G5R1_NF_31MAY2016_SD1		1.2	Illumina 16S iTag	DOE Joint Genome Institute	EMP V4	Y	Y	N	NA	N	2016-05-31	1464667200	31.05.16	0	20.7	27.6	11.5	983	58.33	1.3	2.08	69	297.63	411.51	24.7	18.9	2016
47	8	G5R3_NF_31MAY2016	31	5	2016	14:13	hazy	27.2	soil/air temp and time data are per-plot	G5R3_NF	BCSE	Agricultural	3	switchgrass	nitrogen free	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	G5R3_NF_31MAY2016	6	2017-03-18	6.5	71	20	87	973	107	2.7	2.6	5	12.6	22	G5R3_NF_31MAY2016	229	2.9671	44.7661	15.09	58	0.644	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G5R3_NF_31MAY2016_SD1		DNA	1	soil	0.26	Mobio Powersoil	100	15.8		6076.9	SH Lee	G5R3_NF_31MAY2016_SD1		1.2	Illumina 16S iTag	DOE Joint Genome Institute	EMP V4	Y	Y	N	NA	N	2016-05-31	1464667200	31.05.16	0	20.7	27.6	11.5	983	58.33	1.3	2.08	69	297.63	411.51	24.7	18.9	2016
48	9	G5R4_NF_31MAY2016	31	5	2016	12:37	hazy	30.1	soil/air temp and time data are per-plot	G5R4_NF	BCSE	Agricultural	4	switchgrass	nitrogen free	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	G5R4_NF_31MAY2016	6	2017-03-18	6.7	72	32	90	814	107	2.2	2	4.5	9.3	22.5	G5R4_NF_31MAY2016	238	1.5377	44.4911	28.93	58	0.378	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G5R4_NF_31MAY2016_SD1		DNA	1	soil	0.26	Mobio Powersoil	100	16		6153.8	SH Lee	G5R4_NF_31MAY2016_SD1		1.2	Illumina 16S iTag	DOE Joint Genome Institute	EMP V4	Y	Y	N	NA	N	2016-05-31	1464667200	31.05.16	0	20.7	27.6	11.5	983	58.33	1.3	2.08	69	297.63	411.51	24.7	18.9	2016
57	1	G5R1_MAIN_20JUN2016	20	6	2016	11:44	sunny/hazy windy, 29C	35.5	NA	G5R1_MAIN	BCSE	Agricultural	1	switchgrass	standard fertilization	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	G5R1_MAIN_20JUN2016	6	2017-10-10	6.3	73	22	59	780	126	2.1	0.7	2.2	7.59	23.5	G5R1_MAIN_20JUN2016	328	1.9265	45.0537	23.39	112	1.04	6/17/16	t	f	f	f	f	f	t	f	f	G5R1_MAIN_20JUN2016_SD1		DNA	1	soil	0.26	Mobio Powersoil	100	23.5		9038.5	SH Lee	G5R1_MAIN_20JUN2016_SD1		1.2	Illumina 16S iTag	DOE Joint Genome Institute	EMP V4	Y	Y	N	NA	N	2016-06-20	1466395200	20.06.16	0	25.3	30.1	17.9	984	67.66	2.17	3.58	235.3	229.51	295.81	28.7	22.3	2016
58	2	G5R2_MAIN_20JUN2016	20	6	2016	12:35	sunny/hazy windy, cloudy, 29C	28.2	NA	G5R2_MAIN	BCSE	Agricultural	2	switchgrass	standard fertilization	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	G5R2_MAIN_20JUN2016	6	2017-10-10	6.1	71	16	52	750	135	2.4	0.4	2.7	6.63	24.2	G5R2_MAIN_20JUN2016	320	1.8838	45.5922	24.2	112	0.894	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G5R2_MAIN_20JUN2016_SD1		DNA	1	soil	0.26	Mobio Powersoil	100	20.4		7846.2	SH Lee	G5R2_MAIN_20JUN2016_SD1		1.2	Illumina 16S iTag	DOE Joint Genome Institute	EMP V4	Y	Y	N	NA	N	2016-06-20	1466395200	20.06.16	0	25.3	30.1	17.9	984	67.66	2.17	3.58	235.3	229.51	295.81	28.7	22.3	2016
59	3	G5R3_MAIN_20JUN2016	20	6	2016	13:19	sunny/hazy windy, cloudy, 29C	27.1	NA	G5R3_MAIN	BCSE	Agricultural	3	switchgrass	standard fertilization	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	G5R3_MAIN_20JUN2016	6	2017-10-10	6.1	72	14	62	971	149	2.7	0.7	3.3	9.08	22.4	G5R3_MAIN_20JUN2016	309	2.0215	42.1181	20.84	112	0.987	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G5R3_MAIN_20JUN2016_SD1		DNA	1	soil	0.26	Mobio Powersoil	100	32.5		12500	SH Lee	G5R3_MAIN_20JUN2016_SD1		1.2	Illumina 16S iTag	DOE Joint Genome Institute	EMP V4	Y	Y	N	NA	N	2016-06-20	1466395200	20.06.16	0	25.3	30.1	17.9	984	67.66	2.17	3.58	235.3	229.51	295.81	28.7	22.3	2016
60	4	G5R4_MAIN_20JUN2016	20	6	2016	14:05	sunny/hazy windy, cloudy, 29C	28.2	NA	G5R4_MAIN	BCSE	Agricultural	4	switchgrass	standard fertilization	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	G5R4_MAIN_20JUN2016	6	2017-10-10	6	70	34	116	779	151	3	2.1	3.3	5.24	24.2	G5R4_MAIN_20JUN2016	334	1.7893	45.3521	25.35	112	1.032	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G5R4_MAIN_20JUN2016_SD1		DNA	1	soil	0.26	Mobio Powersoil	100	20.8		8000	SH Lee	G5R4_MAIN_20JUN2016_SD1		1.2	Illumina 16S iTag	DOE Joint Genome Institute	EMP V4	Y	Y	N	NA	N	2016-06-20	1466395200	20.06.16	0	25.3	30.1	17.9	984	67.66	2.17	3.58	235.3	229.51	295.81	28.7	22.3	2016
61	6	G5R1_NF_20JUN2016	20	6	2016	11:44	sunny/hazy windy, 29C	35.5	NA	G5R1_NF	BCSE	Agricultural	1	switchgrass	nitrogen free	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	G5R1_NF_20JUN2016	6	2017-10-10	6.7	74	22	62	875	126	2.3	0.8	2.5	8.34	23.5	G5R1_NF_20JUN2016	334	1.3485	44.84	33.25	112	0.79	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G5R1_NF_20JUN2016_SD1		DNA	1	soil	0.26	Mobio Powersoil	100	18.1		6961.5	SH Lee	G5R1_NF_20JUN2016_SD1		1.2	Illumina 16S iTag	DOE Joint Genome Institute	EMP V4	Y	Y	N	NA	N	2016-06-20	1466395200	20.06.16	0	25.3	30.1	17.9	984	67.66	2.17	3.58	235.3	229.51	295.81	28.7	22.3	2016
63	8	G5R3_NF_20JUN2016	20	6	2016	13:19	sunny/hazy windy, cloudy, 29C	27.1	NA	G5R3_NF	BCSE	Agricultural	3	switchgrass	nitrogen free	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	G5R3_NF_20JUN2016	6	2017-10-10	6.4	73	16	82	1021	141	2.7	1	3.1	9.7	22.4	G5R3_NF_20JUN2016	339	1.4667	45.3641	30.93	112	0.969	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G5R3_NF_20JUN2016_SD1		DNA	1	soil	0.26	Mobio Powersoil	100	30.3		11653.8	SH Lee	G5R3_NF_20JUN2016_SD1		1.2	Illumina 16S iTag	DOE Joint Genome Institute	EMP V4	Y	Y	N	NA	N	2016-06-20	1466395200	20.06.16	0	25.3	30.1	17.9	984	67.66	2.17	3.58	235.3	229.51	295.81	28.7	22.3	2016
64	9	G5R4_NF_20JUN2016	20	6	2016	14:05	sunny/hazy windy, cloudy, 29C	28.2	NA	G5R4_NF	BCSE	Agricultural	4	switchgrass	nitrogen free	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	G5R4_NF_20JUN2016	6	2017-10-10	6.2	71	30	95	897	141	2.9	0.2	3.6	6.8	24.2	G5R4_NF_20JUN2016	353	1.3614	45.1816	33.19	112	0.735	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G5R4_NF_20JUN2016_SD1		DNA	1	soil	0.26	Mobio Powersoil	100	43.8		16846.2	SH Lee	G5R4_NF_20JUN2016_SD1		1.2	Illumina 16S iTag	DOE Joint Genome Institute	EMP V4	Y	Y	N	NA	N	2016-06-20	1466395200	20.06.16	0	25.3	30.1	17.9	984	67.66	2.17	3.58	235.3	229.51	295.81	28.7	22.3	2016
