name	day	month	year	time	weather	air_temp_c	notes	site_type	rep	plant	treatment	time_zone	latitude	longitude	altitude	site_name	city	state	country	SPNL_date	pH	lime_index	P_ppm	K_ppm	Ca_ppm	Mg_ppm	organic_matter	NO3N_ppm	NH4_ppm	soil_moisture_percent	soil_temp_10cm	LDMC_mg_per_g	nitrogen_percent	carbon_percent	carbon_per_nitrogen	height_mean_cm	mass_per_leaf_g	date_phenology_assessed	phenology_emergence	phenology_leaves_full_size	phenology_herbivore_damage	phenology_open_flowers	phenology_ripe_seeds	phenology_leaf_wilting	phenology_canopy_closed	phenology_senescence	phenology_full_leaf_loss	nucleic_acid_type	source	sequence_name	sequencing_type	sequencing_facility	primers	sampling_date	time_numeric	precipitation	Air_temp_mean	air_temp_max	Air_Temp_Min	Air_Pressure	RH	AH	Wind_Speed_Mean	Wind_Direction_Mean	Solar_Radiation	PAR
G5R1_MAIN_31MAY2016	31	5	2016	11:42	hazy	25.5	soil/air temp and time data are per-plot	Agricultural	1	switchgrass	standard fertilization	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	2017-03-18	6.7	72	43	81	875	112	2.3	3.7	7.1	6.8	24	252	2.4779	45.1044	18.2	58	0.694	6/3/16	t	f	f	f	f	f	t	f	f	RNA	phyllosphere	G5R1_MAIN_31MAY2016_LR1_MT	Metatranscriptome	DOE Joint Genome Institute	NA	2016-05-31	1464667200	0	20.7	27.6	11.5	983	58.33	1.3	2.08	69	297.63	411.51
G5R2_MAIN_31MAY2016	31	5	2016	13:26	hazy	25.6	soil/air temp and time data are per-plot	Agricultural	2	switchgrass	standard fertilization	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	2017-03-18	6.6	71	18	61	834	105	2	4	6.3	8.6	22	245	2.4658	45.4308	18.42	58	0.504	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	RNA	phyllosphere	G5R2_MAIN_31MAY2016_LR1_MT	Metatranscriptome	DOE Joint Genome Institute	NA	2016-05-31	1464667200	0	20.7	27.6	11.5	983	58.33	1.3	2.08	69	297.63	411.51
G5R3_MAIN_31MAY2016	31	5	2016	14:13	hazy	27.2	soil/air temp and time data are per-plot	Agricultural	3	switchgrass	standard fertilization	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	2017-03-18	6.5	72	16	68	1091	118	2.6	6.2	4.5	9.6	22	236	2.5851	45.2263	17.49	58	0.55	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	RNA	phyllosphere	G5R3_MAIN_31MAY2016_LR1_MT	Metatranscriptome	DOE Joint Genome Institute	NA	2016-05-31	1464667200	0	20.7	27.6	11.5	983	58.33	1.3	2.08	69	297.63	411.51
G5R4_MAIN_31MAY2016	31	5	2016	12:37	hazy	30.1	soil/air temp and time data are per-plot	Agricultural	4	switchgrass	standard fertilization	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	2017-03-18	6.6	71	37	127	894	129	2.3	6	3.6	8.3	22.5	234	2.4482	45.1259	18.43	58	0.659	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	RNA	phyllosphere	G5R4_MAIN_31MAY2016_LR1_MT	Metatranscriptome	DOE Joint Genome Institute	NA	2016-05-31	1464667200	0	20.7	27.6	11.5	983	58.33	1.3	2.08	69	297.63	411.51
G5R1_NF_31MAY2016	31	5	2016	11:42	hazy	25.5	soil/air temp and time data are per-plot	Agricultural	1	switchgrass	nitrogen free	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	2017-03-18	6.7	73	23	64	903	104	2.4	2.6	6.6	11.1	24	255	2.2266	45.1101	20.26	58	2.809	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	RNA	phyllosphere	G5R1_NF_31MAY2016_LR2_MT	Metatranscriptome	DOE Joint Genome Institute	NA	2016-05-31	1464667200	0	20.7	27.6	11.5	983	58.33	1.3	2.08	69	297.63	411.51
G5R3_NF_31MAY2016	31	5	2016	14:13	hazy	27.2	soil/air temp and time data are per-plot	Agricultural	3	switchgrass	nitrogen free	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	2017-03-18	6.5	71	20	87	973	107	2.7	2.6	5	12.6	22	229	2.9671	44.7661	15.09	58	2.834	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	RNA	phyllosphere	G5R3_NF_31MAY2016_LR2_MT	Metatranscriptome	DOE Joint Genome Institute	NA	2016-05-31	1464667200	0	20.7	27.6	11.5	983	58.33	1.3	2.08	69	297.63	411.51
G5R4_NF_31MAY2016	31	5	2016	12:37	hazy	30.1	soil/air temp and time data are per-plot	Agricultural	4	switchgrass	nitrogen free	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	2017-03-18	6.7	72	32	90	814	107	2.2	2	4.5	9.3	22.5	238	1.5377	44.4911	28.93	58	3.14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	RNA	phyllosphere	G5R4_NF_31MAY2016_LR3_MT	Metatranscriptome	DOE Joint Genome Institute	NA	2016-05-31	1464667200	0	20.7	27.6	11.5	983	58.33	1.3	2.08	69	297.63	411.51
G5R1_MAIN_12JUL2016	12	7	2016	11:20	38.7 C sunny, windy	32.2	NA	Agricultural	1	switchgrass	standard fertilization	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	2017-03-18	6	70	32	80	736	107	2.3	7.8	4.3	5.7	24.4	322	1.3709	45.0752	32.88	162.56	1.014	7/15/16	t	f	f	f	f	f	t	f	f	RNA	phyllosphere	G5R1_MAIN_12JUL2016_LR1_MT	Metatranscriptome	DOE Joint Genome Institute	NA	2016-07-12	1468296000	5	25	32.8	21.7	796	74.61	2.32	3.7	185.6	276.05	375.37
G5R2_MAIN_12JUL2016	12	7	2016	11:57	38.7 C sunny, windy	33.6	NA	Agricultural	2	switchgrass	standard fertilization	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	2017-03-18	6.4	71	20	66	700	104	2.6	5.4	10.9	7.5	25.4	342	1.3342	45.2078	33.88	162.56	0.82	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	RNA	phyllosphere	G5R2_MAIN_12JUL2016_LR1_MT	Metatranscriptome	DOE Joint Genome Institute	NA	2016-07-12	1468296000	5	25	32.8	21.7	796	74.61	2.32	3.7	185.6	276.05	375.37
G5R3_MAIN_12JUL2016	12	7	2016	13:08	38.7 C sunny, windy	31.4	NA	Agricultural	3	switchgrass	standard fertilization	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	2017-03-18	5.9	69	19	79	820	119	3.1	3.2	4.9	5.8	25.5	344	1.447	45.3191	31.32	162.56	0.93	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	RNA	phyllosphere	G5R3_MAIN_12JUL2016_LR1_MT	Metatranscriptome	DOE Joint Genome Institute	NA	2016-07-12	1468296000	5	25	32.8	21.7	796	74.61	2.32	3.7	185.6	276.05	375.37
